title,price,location,review
GeForce RTX 4070 Ti OC PNYXLR8 Gaming GREEN EPIC-X RGB Triple Fan 12GB DEAL!!,"IDR13,422,088.24",from Italy,no review
Zotac NVIDIA GeForce RTX 4070 Ti Trinity Overclocked Triple Fan 12GB GDDR6X PCIe,"IDR11,911,764.71",from United States,no review
Palit Geforce Rtx4070Ti Gamingpro,"IDR23,520,147.06",from Japan,no review
MSI NVIDIA GeForce RTX 4070 Ti Ventus 3X Overclocked Triple Fan 12GB GDDR6X PCIe,"IDR12,794,117.65",from United States,no review
NVIDIA GeForce RTX 4070 12GB Founders Edition Graphics Card,"IDR9,999,852.94",from United States,no review
Inno3D ICHILL GeForce RTX 4070 Ti - 3 Months Old - With Invoice!,"IDR11,744,327.21",from Germany,no review
GIGABYTE GeForce RTX 4070 Ti AERO OC 12GB GDDR6X Graphics Card,"IDR12,500,000.00","from Korea, South",no review
New ListingGIGABYTE GeForce RTX 4070Ti Eagle 12GB GDDR6X HDMI DP Graphics Card,"IDR13,885,469.85",from Germany,no review
INSTOCK NVIDIA GeForce RTX 4070 Founders Edition (FE) 12GB GDDR6X Graphics Card,"IDR11,176,470.59",from United States,no review
Zotac Gaming GeForce RTX 4070 Ti Amp Extreme AIRO Graphics Card 12GB GDDR6X,"IDR14,364,830.15",from Germany,no review
MSI GeForce RTX 4070 Ti VENTUS 3X OC 12GB GDDR6X Graphics Card,"IDR10,627,600.37",from Canada,1 product rating - MSI GeForce RTX 4070 Ti VENTUS 3X OC 12GB GDDR6X Graphics Card
Mint GIGABYTE GeForce RTX 4070 Ti AERO OC 12G 12GB OC,"IDR15,179,742.65",from Germany,no review
GIGABYTE EAGLE OC GeForce RTX 4070 Ti 12GB Graphics Card ~ Full MFR Warranty!,"IDR11,441,176.47",from United States,no review
Asus Geforce Rtx4070Ti Tuf Gaming,"IDR24,966,911.76",from Japan,no review
GIGABYTE NVIDIA GeForce RTX 4070 Ti AERO OC D6X 12GB Gaming Graphics Card,"IDR15,613,235.29","from Korea, South",no review
GIGABYTE NVIDIA GeForce RTX 4070 Ti Gaming OC D6X 12GB Graphics Card - Tracking,"IDR14,757,794.12","from Korea, South",no review
"Manli GeForce RTX 4070 Ti Triple Fan, 12GB GDDR6X, HDMI, 3xDP Gaming Graphics Card","IDR12,303,580.88",from Slovenia,no review
KFA2 GeForce RTX 4070 Ti SG 1-Click OC 12GB Graphics Card - 12GB GDDR6X ,"IDR14,364,830.15",from Germany,no review
ASUS TUF Gaming GeForce RTX 4070 Ti ,"IDR9,826,886.03",from Germany,no review
ASUS TUF Gaming GeForce RTX 3080 OC 10GB GDDR6X Similar to Nvidia 4070 AMD 6900,"IDR9,411,440.44",from Germany,no review
ASUS Rog-Strix-Rtx4070Ti-O12G Gaming,"IDR28,170,087.04",from Japan,no review
ASUS TUF Gaming GeForce RTX​​ 4070 Ti OC Edition 12GB GDDR6X Graphics Card,"IDR13,153,897.06",from United Kingdom,no review
NVIDIA RTX 4070 Founder's Edition (FE) Graphics Card – In Stock & Ready to Ship!,"IDR11,029,264.71",from United States,no review
"New ListingZotac GEforce Rtx 4070 12GB GDDR6X (New, never opened)","IDR7,573,529.41",from United States,no review
Gigabyte GeForce RTX 4070 Ti Gaming OC 12G Graphics Card 3X WINDFORCE Fans,"IDR9,411,764.71",from United States,no review
MSI NVIDIA® GeForce RTX™ 4070 Ti 12GB GDDR6X Gaming Video Card,"IDR10,294,117.65",from United States,no review
"New ListingGainward GeForce RTX 4070 Ghost, 12GB GDDR6X","IDR9,107,685.79",from France,no review
NVIDIA GeForce RTX 4070 Founders Edition 12GB Graphics Card,"IDR10,147,058.82",from United States,no review
GIGABYTE NVIDIA GeForce RTX 4070 Ti EAGLE OC D6X 12GB Gaming Graphics Card,"IDR14,800,588.24","from Korea, South",no review
"Palit RTX4070 DUAL, PCIe4, 12GB DDR6X, HDMI, 3 DP, 2475MHz Clock, RGB Lighting","IDR12,730,580.74",from United Kingdom,no review
MANLI GeForce RTX 4070 Ti Gallardo D6X 12GB Gaming Graphics Card - Tracking,"IDR13,467,500.00","from Korea, South",no review
